    0.0000       0.03607       0.04408      99.99999       0.00011      99.99997       0.00011      99.99994       0.00011
    0.0006       0.00100       0.04408      49.25988      -0.00380      49.27298      -0.00379       0.00000       0.00000
    0.0013       0.00100       0.02427      49.25824      -0.00380      49.26619      -0.00379       0.00000       0.00000
    0.0019       0.00100       0.02427      49.25734      -0.00380      49.26528      -0.00379       0.00000       0.00000
    0.0025       0.00100       0.02427      49.25644      -0.00380      49.26438      -0.00379       0.00000       0.00000
    0.0031       0.00100       0.02427      49.25554      -0.00380      49.26348      -0.00379       0.00000       0.00000
    0.0038       0.00100       0.02427      49.25463      -0.00379      49.26257      -0.00379       0.00000       0.00000
    0.0044       0.00100       0.02427      49.25373      -0.00379      49.26167      -0.00379       0.00000       0.00000
    0.0050       0.00100       0.02427      49.25283      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0056       0.00100       0.02427      49.25193      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0062       0.00100       0.02427      49.25103      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0069       0.00100       0.02427      49.25013      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0075       0.00100       0.02427      49.24923      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0081       0.00100       0.02427      49.24832      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0087       0.00100       0.02427      49.24742      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0094       0.00100       0.02427      49.24652      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0100       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0106       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0113       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0119       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0125       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0131       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0138       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0144       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0150       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0156       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0163       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0169       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0175       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0181       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0188       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0194       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0200       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0206       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0213       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0219       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0225       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0231       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0238       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0244       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0250       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0256       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0263       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0269       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0275       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0281       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0288       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0294       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0300       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0306       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0313       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0319       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0325       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0331       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0338       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0344       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0350       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0356       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0363       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0369       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0375       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0381       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0388       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0394       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0400       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0406       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0413       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0419       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0425       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0431       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0438       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0444       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0450       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0456       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0463       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0469       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0475       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0481       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0488       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0494       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0500       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0506       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0513       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0519       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0525       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0531       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0538       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0544       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0550       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0556       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0563       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0569       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0575       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0581       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0588       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0594       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0600       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
    0.0606       0.00100       0.02427      49.24654      -0.00379      49.26169      -0.00379       0.00000       0.00000
